ID,S,Izero,n,M
5410EC38A764,56.58 16.14 9.8 208.61 64.83 23.78 3.64,22.504 247.449 8.919 34.851 3.42 1.403 43.229,10.11 12.09 11.97 12.45 14.82 50.02 12.81,1.0 -3.49466261779187e-17 0.296519655181468 0.85148616161858 -0.414576760636244 -0.111031694503909 -0.00145339697290472 -5.48604265757696e-17 1.0 -1.04834139919052 0.847076598968424 0.0737461849231021 -2.33680172074979 -0.992226348905776 -1.01496829637543e-16 -2.10474055761618e-16 2.41328954145954 -9.75355101076288 0.346083488233186 2.135474945121 -0.0132128567710727 -6.55823921295258e-17 -2.23824495122139e-17 -0.349685654557488 2.41328954145954 0.076916703611191 -0.44090809382699 0.00131454294612843 -5.88769562572717e-17 1.92704111873736e-16 1.85039346752347e-16 -1.52179456530685e-15 1.01999824886701 -1.27377381318512 -7.88572413505399e-18 -8.37642075903643e-17 -1.20603437922845e-16 -1.49892665441356e-16 8.4293154172295e-16 -0.016013972507212 1.01999824886701 1.73082879288734e-19 -4.13510840479585e-33 -2.54732247215197e-18 1.54845758650156e-16 -6.17189449712122e-16 2.64267942523516e-18 1.64327533116883e-16 1.0
5410EC38A7D4,52.63 14.67 9.99 199.09 66.37 20.09 4.21,18.707 216.506 8.016 35.388 1.636 3.337 53.024,10.9 12.01 12.19 12.61 34.06 31.55 12.86,1.0 -6.65583435192121e-17 0.163890712214619 1.31684707893783 -0.452850000745494 -0.185692035496411 -0.000324857445108154 1.42799815281726e-16 1.0 -1.02901829451825 0.804822302535922 0.0248828327584195 -2.25206735260181 -0.995521185968636 2.52906063495741e-16 3.47599637734197e-16 2.62097613328649 -10.5876951880241 0.382395123795049 2.15675926039562 -0.00543139642148693 -2.21535439803731e-18 -1.19991797651011e-16 -0.401271446006162 2.62097613328649 0.0730582983771042 -0.450798208791808 0.000131546792129667 -1.63083841777721e-17 5.59231687931561e-17 8.01021009146229e-17 -5.43307570098763e-16 1.00626601849718 -1.25320369943639 1.04060687951716e-16 -3.33271968369809e-17 4.05772838380417e-17 0.0 -2.01966245245817e-16 -0.00503133009248592 1.00626601849718 -3.19477308126397e-19 4.07522918847952e-33 1.47334905574016e-17 4.10142104129556e-18 -6.59547607868277e-17 -2.14335286951963e-17 1.3319857754212e-17 1.0
5410EC38A826,63.11 16.42 11.25 175.27 50.79 24.64 2.75,20.534 276.707 4.584 33.537 1.915 1.388 42.343,10.22 11.77 13.43 13.23 38.92 40.11 12.15,1.0 1.85496996217705e-17 0.229143353526778 1.07502580257139 -0.420494928017265 -0.175018088929455 -0.000330331901708011 1.29290998105086e-17 1.0 -0.988725578015106 0.372281132639116 0.0301741199097036 -2.09213535437295 -0.995971848694119 1.68136195865269e-16 -1.13894725033544e-16 2.75786355150167 -10.9387899906762 0.495723953988191 2.23406662976679 -0.00529553927705124 2.0209194025359e-16 1.8265990342498e-16 -0.443188672726318 2.75786355150167 0.0583445750408938 -0.513971452020884 0.000250993161822134 8.97582721973891e-17 4.56597183214439e-18 2.41497205327258e-16 -7.9600953941865e-16 1.01781924653854 -1.31023871606906 -3.86095149782977e-18 -4.29445500406332e-17 -1.05914845242589e-16 7.75824213681155e-17 -1.69864572360588e-17 -0.0138423417529241 1.01781924653854 2.55237450685422e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38A8F4,56.74 15.21 10.16 202.46 56.81 13.25 3.46,25.264 204.217 8.146 34.342 0.731 1.395 44.227,10.01 11.92 12.13 12.8 106.51 25.32 12.68,1.0 6.2419299267376e-18 0.237868697393623 1.11185365967581 -0.43987135188299 -0.152331340538796 -0.000584619338082102 1.79318111795922e-16 1.0 -0.976599701501912 0.415246436364276 0.0908129333515475 -2.14962816029113 -0.993608269891606 -3.18234420323285e-16 1.43478171498919e-16 2.28737672497655 -8.76362644640266 0.261148085622154 1.628172011128 -0.0102959858619987 6.93165193479128e-17 6.19599166568065e-17 -0.336015640899055 2.28737672497655 0.093905624570222 -0.370735793906877 0.000912480323127577 5.806756479642e-17 -1.50859472569924e-17 4.60682132782781e-17 -8.83695348129052e-18 1.00855824198939 -1.29670333172576 -6.0761708518483e-18 6.95461220584747e-17 4.09611684198579e-17 0.0 4.4524835168906e-18 -0.00665648439712997 1.00855824198939 -2.86772625893813e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38B785,64.02 16.35 6.78 204.5 52.09 22.39 3.04,23.836 273.862 7.993 35.115 2.363 2.712 36.889,9.54 11.91 12.79 13.34 25.01 18.78 12.97,1.0 2.0813839969558e-17 0.345864931334905 0.501131918440949 -0.45137792608689 -0.0887199025686423 -0.00121797419100842 -1.41213070231377e-16 1.0 -1.21962631120516 1.9585707107349 0.158072960778893 -2.47728036900275 -0.993003646141366 -6.04184068291444e-17 -9.49046070840397e-17 3.39976704796187 -14.677474299461 6.31422656472732e-05 3.54411879074962 -0.0139719546416682 1.66889083291809e-16 -5.197273522305e-17 -0.555861912341766 3.39976704796187 0.137691383678274 -0.712891613326853 0.00168441458391277 -1.08931695488592e-17 -1.18363079101443e-16 3.00662099033457e-16 -9.28339632005878e-16 1.02067041307144 -1.14835628174668 -1.46927935105376e-17 4.74672603337116e-17 -5.78127841929162e-17 1.4685418103658e-16 -3.48159598318469e-16 -0.0183720674352859 1.02067041307144 1.73284812014719e-19 1.27431453878749e-33 -1.64858706310858e-17 -1.93158185546935e-17 1.37905728867197e-16 -9.56981757805827e-18 7.57805572946056e-18 1.0
5410EC388CD,59.35 17.38 9.41 193.43 66.9 22.23 4.32,18.018 272.78 7.552 28.664 5.342 1.083 44.896,9.39 11.7 13.6 12.67 13.53 -146.06 12.98,1.0 8.93379670570708e-18 0.190269684030383 1.27195263673935 -0.558348180101294 -0.120688166281674 0.000174621324672312 5.46946676712432e-17 1.0 -0.912583264059881 0.789505215923162 -0.0559252094253168 -1.72798037752819 -0.99564931963485 -1.92822098481544e-17 -2.94753895238467e-16 2.36893056595812 -9.99949281196582 0.609800526207421 1.86588377042438 -0.00731869253699907 -4.85689202188495e-18 9.52659649729668e-17 -0.324306594479667 2.36893056595812 0.070259482963699 -0.407605655925284 0.00050192900831515 1.20089055845437e-17 1.08722916373105e-16 -2.20394568273397e-17 -2.15024372491902e-16 1.01920447238338 -1.14996840619016 -6.95591755328622e-17 -1.0899313420811e-17 -1.08872539070538e-17 -2.28475534628316e-16 9.75144217755805e-16 -0.0170207146888024 1.01920447238338 2.10776357419684e-18 2.79640522210036e-33 2.77678886937698e-17 5.53166772450052e-18 -1.08391658545429e-16 3.16131605881166e-17 -5.21206569271502e-17 1.0
5410EC38A46,52.79 17.36 11.43 195.35 60.11 20.54 2.34,17.817 231.897 6.458 28.678 2.178 1.332 39.325,8.94 11.64 12.11 12.22 54.41 23.89 12.39,1.0 -3.08593258134388e-17 0.0609652326599866 1.83971764944786 -0.578977029464387 -0.233637519067405 0.000232833642115362 -5.11841065678865e-16 1.0 -0.78060744101539 -0.0747031349584514 -0.09262357073665 -1.85570800166425 -0.994022561567308 9.66327670348353e-16 -1.80789350294964e-17 1.91141084751651 -7.74350762545889 0.615876589521199 1.25133284175296 -0.00988061786585017 4.42590041362183e-18 5.75468893565705e-17 -0.224973056752693 1.91141084751651 0.0755249639444052 -0.283091452431676 0.000562948722810527 6.90611490613237e-18 -6.64544426698467e-18 2.1510855239586e-17 -5.12218191353283e-17 1.00920899168073 -1.12304776594231 9.15605840191772e-17 -1.66365500841221e-18 0.0 0.0 -3.47154890605375e-18 -0.00827551373178195 1.00920899168073 -8.59857997390742e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38A5FE,59.98 15.87 9.92 201.3 69.61 26.19 3.26,18.109 217.043 7.944 28.493 0.449 1.269 47.047,8.65 11.75 11.96 13.19 113.53 38.02 12.04,1.0 2.83869679536216e-17 0.122229149507174 1.64908767605533 -0.569864178806176 -0.24502940213583 4.27204328658881e-05 1.23868917750512e-17 1.0 -0.729777533949743 -0.46494996975694 0.0824527897776464 -1.74270953366555 -0.994539609527103 -2.30661844783558e-16 -5.68086400058925e-17 1.93691949070174 -7.17396240966111 0.340653821333363 1.43845611454907 -0.00944775093818575 -1.24832182068278e-18 3.69972627949756e-17 -0.252961685485647 1.93691949070174 0.113469231520549 -0.327333866384385 0.000633876272527072 -7.82219170442837e-17 -8.29715222630806e-18 2.67882925689944e-17 -2.37340754722996e-16 1.03110948040001 -1.06905430927873 2.09589678712366e-17 5.78420520241418e-17 0.0 0.0 1.21572424944341e-16 -0.0300052858796403 1.03110948040001 -7.46259529995767e-19 1.56113547809178e-32 4.17600210689969e-17 -2.22174356736934e-16 6.90597811737782e-16 -4.95840333769808e-17 -1.95117890529163e-16 1.0
5410EC38A625,58.58 18.16 11.07 200.59 66.74 24.61 3.56,18.205 216.282 6.152 30.716 0.491 4.532 44.917,9.41 11.83 13.06 12.3 -1232.29 10.71 12.25,1.0 4.23021784316988e-17 -0.0378296241825226 2.28679089852594 -0.623481674105087 -0.320137418783556 0.000377600980489092 -6.07773592901258e-17 1.0 -0.784470868683294 -0.392268532530776 0.00417933706925098 -1.9219556284014 -0.994587131147171 9.62785998905557e-17 1.26414731159073e-16 1.84596704564862 -7.02630436585235 0.465811504052684 1.23966922515905 -0.00796759988176962 1.52703820160646e-17 2.01209793823732e-17 -0.222254432296094 1.84596704564862 0.0993833521685965 -0.25874168233054 0.000359299025765078 6.38440102540104e-17 -2.09340713833075e-16 1.5256640105677e-16 2.63286252300802e-16 1.02763731916717 -1.0198272755415 2.94575803297262e-16 -5.30825530786186e-18 0.0 0.0 -1.13745294736864e-17 -0.0278489713494304 1.02763731916717 -8.80529761095679e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38A76E,52.53 16.37 9.98 195.68 72.13 21.05 3.29,21.389 198.601 6.956 31.866 0.718 1.514 58.29,8.82 11.75 11.92 12.48 -1092.31 36.44 11.66,1.0 7.52396569701574e-17 0.136830957154296 1.57436146018136 -0.566050520423654 -0.206962628789457 0.000701623663221653 6.70939282918702e-17 1.0 -0.697798711799569 -0.381800215764587 -0.144846164464596 -1.4854077467638 -0.995926446783671 -2.16134303246753e-16 -2.03038476978743e-16 2.09687833737846 -8.3923361696898 0.491698113799621 1.50065949092318 -0.00460927408609159 -8.35305763090014e-17 -3.82061441882934e-17 -0.274061998695364 2.09687833737846 0.0951740791044192 -0.327880330162873 -0.000197567876947863 -4.31149468150838e-17 -3.74906400867781e-17 1.117808659819e-16 -4.19852691041482e-16 1.01392993727911 -1.05529827872009 2.4480546566201e-17 -2.51133005843156e-17 -9.4328855549536e-17 0.0 2.46165960987639e-16 -0.0133838751720842 1.01392993727911 -8.09750982604513e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38A9D0,53.66 17.82 10.97 188.82 60.19 24.04 4.0,22.259 220.866 6.94 27.415 4.501 1.113 38.79,9.8 11.75 11.97 12.37 37.21 31.92 12.96,1.0 4.59470030988635e-18 0.137691485660065 1.59756081192006 -0.562074470337981 -0.23922023817874 0.000450084816095533 -2.15071749986527e-16 1.0 -0.80707577239063 -0.334247443777561 -0.0610764663305168 -1.84966193575054 -0.993988505972521 -1.16373477214255e-16 -6.0140990296989e-17 2.06500853364776 -7.83670738519327 0.510802787456838 1.4143200891283 -0.0101660370111481 2.2297375819887e-17 5.43738049617261e-17 -0.280634659722731 2.06500853364777 0.0871093703506386 -0.314898778074809 0.000781564429815037 -3.07152361270069e-17 1.2329990007371e-17 -4.46670038162339e-17 6.25056983157003e-17 1.02100107317423 -1.01946957156447 3.73094194943603e-17 2.12105413712809e-17 -6.11537874248223e-17 -8.2379168266469e-17 5.65342943593366e-16 -0.0210326221073891 1.02100107317423 -5.40341649096427e-19 -3.42231118624628e-32 7.36338592538212e-18 2.21897944072683e-16 -8.67116856082949e-16 5.88309927471077e-17 1.39510489067758e-16 1.0
5410EC38A9FF,62.33 15.14 8.14 213.5 80.06 22.26 4.02,19.165 240.098 8.666 31.376 0.894 1.544 43.758,9.59 11.7 12.29 13.01 66.06 26.42 12.44,1.0 -7.50310790420606e-17 0.019886250966375 2.07985730284304 -0.62340676561344 -0.335183265267595 0.000351234483533813 4.76568673444614e-16 1.0 -0.79913280122757 0.375549657760514 0.189547276479072 -1.92121252196112 -0.992154088502258 -2.88053671139848e-16 2.03759140182281e-16 2.22308497680077 -9.56282233620621 -0.138858860513377 2.30596906040709 -0.0167154648639642 -5.3107507695244e-17 -4.32609028622781e-17 -0.284332568532819 2.22308497680077 0.169879141228223 -0.425060532193775 0.00153790795610104 -4.36841981055865e-17 -8.23432838708614e-17 -3.36176371782548e-17 3.02151000720721e-16 1.00843928551109 -0.981312268730837 6.42178740523246e-18 2.20144297907917e-17 3.15737084006098e-17 -7.8363025124372e-17 2.88077740021312e-16 -0.00867257785539533 1.00843928551109 -4.2927300936838e-19 1.21021132944005e-34 3.29261054728824e-17 -4.39638870163295e-18 -8.19082293190215e-17 8.19253817169169e-21 -3.57919016552264e-17 1.0
5410EC38AC69,63.42 16.66 10.84 202.13 72.3 24.47 3.74,18.987 230.099 7.875 32.165 2.099 0.824 40.185,9.87 11.81 11.98 12.68 33.27 72.53 12.6,1.0 -5.41866610143299e-18 0.00354892878726726 2.07276753557515 -0.609258421879469 -0.313747742744471 0.000133626334416425 -1.72921374462336e-16 1.0 -0.849215016379843 0.0208961747658992 -0.110638224605766 -1.78913455578483 -0.994577561600029 1.1088591347998e-15 1.65549695384572e-17 2.23006710271912 -8.8176853241514 0.73571581271503 1.60540825356204 -0.00898181826291141 -1.51067170474152e-16 -2.36079705994268e-17 -0.311094360829317 2.23006710271912 0.0611149035687329 -0.371480847355303 0.000652963647676089 4.92721744485377e-17 4.4885565492959e-17 -1.52993049745294e-16 5.57977048838646e-16 1.02051127655776 -1.06276044340725 -1.0110093380364e-16 1.10657825709634e-18 -6.51415014453792e-17 -7.7875815355108e-17 5.27600857594092e-16 -0.0196958676375648 1.02051127655776 1.9754098056331e-18 5.11196615903552e-32 4.04214835555265e-17 1.55102960021872e-16 -7.48159552402917e-16 4.80861395000686e-17 7.4396620121526e-17 1.0
5410EC38B6F9,59.01 16.04 8.5 191.51 62.79 22.22 3.96,14.862 218.079 7.062 33.016 13.866 0.947 48.429,9.76 11.81 13.1 12.24 17.21 44.3 12.28,1.0 8.76579849964738e-18 -0.0966696452629856 2.53670712309966 -0.628939059333074 -0.413298608352858 0.000914666470360477 3.54557505101112e-16 1.0 -0.780806610462564 0.428077764375966 -0.0748346944103568 -2.01676672024655 -0.991909750818505 -2.79757781788279e-18 -9.99442877817014e-18 2.37237534033504 -10.4522112744481 0.564908033911881 2.24349571410965 -0.0172598846560599 1.37785763910986e-16 4.91730826246024e-17 -0.31149288218599 2.37237534033504 0.0804472226568584 -0.416531803538368 0.00146622285534065 6.72146330100316e-17 1.91419844214058e-17 -6.31139091007222e-17 3.62288250996262e-16 1.01435242752033 -1.01790266101666 3.54167666212167e-17 -9.78041211407881e-18 0.0 0.0 -2.06444938903976e-17 -0.0143023692280367 1.01435242752033 -1.03682163634904e-18 2.10177159755902e-32 4.56917399977407e-17 -1.34557638479833e-16 4.55210522741252e-16 -3.86399761962863e-17 -1.73943072988416e-16 1.0
5410EC38CF2F,57.66 17.48 10.66 187.83 65.37 18.06 4.34,21.695 203.402 8.108 30.499 0.986 1.667 56.891,8.95 11.98 13.67 12.42 43.67 88.68 12.19,1.0 4.10858405844898e-17 0.199681765534884 1.4004662487199 -0.589414635205978 -0.187931105836552 -0.000117924814190106 -4.52924793524209e-17 1.0 -0.795453192450579 -0.478357146112261 0.160520258944178 -1.54654962178272 -0.993826632088198 -5.45496970851677e-17 -1.52332609081041e-16 1.81777632186013 -6.547448533708 0.100728502947031 1.347780401353 -0.00952307566154018 -3.758421998768e-18 -2.5091967445094e-18 -0.22704026260033 1.81777632186013 0.143749205849171 -0.301947416228055 0.000589432150126353 1.20315245079693e-16 6.34698812973802e-17 9.8443840685968e-17 -3.11764192889154e-16 1.03897059209324 -1.05611360686277 5.09108530887718e-17 -6.56836889164269e-17 -7.10991653182778e-17 1.96670648352606e-16 -6.09897664455739e-16 -0.0383380148482404 1.03897059209324 -2.30726542362076e-18 -1.25953246701725e-33 3.46056922087407e-18 -4.11692405723516e-17 1.36717074427561e-16 6.84772230039305e-18 -4.23956157566002e-17 1.0
5410EC38E340,57.53 16.72 9.32 194.85 68.85 18.56 3.28,20.744 204.159 7.679 30.688 0.377 1.372 58.746,9.84 12.02 12.99 12.31 -98.22 52.08 11.75,1.0 6.60531060667327e-17 0.0878161676574946 1.74151452601879 -0.591477938531978 -0.235248662343954 0.000907228829335455 3.61695474442636e-16 1.0 -0.854888178881382 0.411476600500261 -0.0975317554206844 -1.92143528021522 -0.995886956248005 -5.54835722072589e-17 4.0286878612159e-16 2.10988019762657 -9.04547838326464 0.631006460021622 1.74233419987244 -0.00533310197793658 6.07202551609578e-17 -4.49194723853706e-17 -0.25888230024878 2.10988019762657 0.0698203351130825 -0.335294997878875 5.43716126928236e-05 -9.88115263543987e-17 8.23777708083502e-18 -2.67395823603238e-17 -1.21447306833641e-16 0.997859441818383 -1.01931341981748 -8.77164713632577e-18 -1.4247733360011e-17 0.0 0.0 -3.01766992565034e-17 0.00209550482781858 0.997859441818383 7.61489729329476e-20 8.62346727158208e-33 4.83367469193483e-17 -2.22234937140962e-16 7.95497182733941e-16 -3.28074940243691e-17 -2.68845012740314e-16 1.0
5410EC38E362,57.43 15.79 8.19 178.85 70.43 12.93 4.1,18.005 231.673 6.809 31.716 1.009 1.138 51.928,8.67 11.73 12.82 12.88 196.56 123.64 12.14,1.0 1.39666666371473e-16 -0.0295056787081549 2.22728060255841 -0.601038499298568 -0.36929447418992 0.000424158093807394 -2.21137612774484e-16 1.0 -0.895955369512146 0.330475118222003 0.0677758912197405 -2.05136336080232 -0.991630161035439 4.14424964371521e-16 -2.13934366713407e-16 2.29965868005939 -9.03167950006524 0.0548730486702032 1.84840593888407 -0.0157545476785244 -1.28036264109049e-16 1.27304577978113e-17 -0.330920884060546 2.29965868005939 0.15225862912809 -0.399768212173736 0.00156707941093966 -3.01750726077222e-17 1.5201239111846e-16 -1.97509757946937e-16 2.2732706845387e-16 1.00340577996648 -1.00169999014054 -9.76015422220257e-17 -1.42887055992542e-17 -1.12192715217208e-16 8.32289446694283e-17 6.6150363004716e-19 -0.00341157965188604 1.00340577996648 4.54881910363446e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC389CC5,56.31 17.64 10.59 133.95 35.97 15.71 4.53,22.613 171.696 4.926 18.227 3.557 1.948 38.658,14.5 11.63 14.06 12.34 36.65 17.73 12.64,1.0 -2.10626682824465e-16 2.49977203164882 -6.40050183066825 -0.177850296538456 2.12683640332438 -0.00857813953801789 -3.73196696653932e-16 1.0 -0.78726096007745 -0.272288255121818 -0.0100799100273947 -1.92443174644484 -0.994743699251407 -8.37786560423152e-16 4.27591734313189e-16 7.32428437530189 -24.0375688913033 0.720827884216638 7.30383904841826 -0.0276453648888897 -1.77353394670529e-16 1.02803051523628e-16 -1.92701921914193 7.32428437530189 -0.0573616419223745 -2.14437261433673 0.00647349550226687 -9.56852958940811e-17 7.63131389014336e-17 -2.8192262220274e-16 5.34723097959702e-16 0.997815880818476 -1.56008512965969 5.62333148705331e-18 5.55501637526375e-18 0.0 0.0 1.00184720327882e-17 0.00139694223314589 0.997815880818476 -2.96155834652443e-20 2.67290101469957e-33 -1.98443604134051e-17 1.43063197574873e-17 9.7235825285872e-18 -7.83159876850488e-18 4.92313171240851e-17 1.0
5410EC389E3A,53.7 14.52 10.81 147.33 35.53 22.99 4.15,23.33 166.996 4.906 19.356 1.314 1.698 39.732,14.04 11.74 13.08 11.9 29.01 15.37 12.31,1.0 -7.46810184305762e-18 1.93190316006732 -4.21935456817828 -0.0740868522375187 1.18505292922791 -0.00364998372582755 1.6952572722928e-16 1.0 -0.558572233798988 -0.5396204370412 -0.0308623603450187 -1.48687491034311 -0.996496156364473 8.68713875449414e-17 -8.36467087837562e-16 4.41393337520685 -14.0491085399459 0.858515428721149 3.42241951854716 -0.0130373467316807 -4.33727853430497e-19 5.29688264913056e-17 -1.07258581017526 4.41393337520685 -0.085580951654091 -1.03562566586525 0.00236807525579837 -9.48909545318085e-17 3.75545492427372e-17 2.34444634848127e-16 -1.01635757108818e-15 1.00728620476215 -1.58395755698848 -4.95511820870669e-17 -3.31389296903063e-17 -5.58298604656665e-17 -1.68929778020659e-16 6.03124099467753e-16 -0.00463351654190589 1.00728620476215 9.23485658174513e-19 1.39183899958809e-33 -1.99351521156625e-17 7.56967020325825e-17 -1.94735317871459e-16 2.19710261525711e-17 6.58643049946224e-17 1.0
5410EC389E4A,48.91 14.68 10.89 160.14 43.57 21.84 3.59,23.679 169.124 4.622 19.637 6.396 5.007 39.024,15.18 11.64 13.94 11.83 13.79 11.31 11.6,1.0 -2.4550676025685e-18 3.16436237975086 -8.94721842005924 0.0731149819691628 2.53739571300679 -0.00871196330448267 4.25201129955949e-16 1.0 -1.04234731857856 1.08232583165296 -0.158463592437284 -1.79999805119647 -0.994716011485709 -3.59708663290486e-16 4.71609194415241e-16 6.77479051670244 -23.0254805291166 1.15015687709085 6.13431775377054 -0.0215508796252512 4.47300854837762e-17 -2.75165183915985e-16 -1.69911746158897 6.77479051670244 -0.158190235154648 -1.74811622984931 0.00460496061001297 1.91535142754922e-17 7.12677664255493e-19 2.87419291310592e-16 -9.43985369181726e-16 1.0077219211513 -1.51410218652983 3.90188073284858e-17 -4.33603288015881e-18 -2.7143128985186e-17 7.86927507409451e-17 -2.08510191131884e-16 -0.00513938179787163 1.0077219211513 -1.22124912584617e-19 2.27208197997582e-33 5.41157258467528e-17 5.02093735230378e-17 -3.03787518093514e-16 5.95826799535413e-18 4.48821926626932e-18 1.0
5410EC38A0B2,49.21 13.81 12.27 147.44 45.59 19.14 3.13,23.999 149.593 5.158 18.488 3.868 1.222 40.613,14.12 11.65 13.54 12.34 17.14 19.23 11.94,1.0 3.27215160603752e-17 1.51837529260138 -2.79220170448938 -0.194335258982962 0.857209534279081 -0.00239284785764471 1.63819803572418e-16 1.0 -0.686636566882853 -0.406969044451725 -0.0195754385060335 -1.9617355656359 -0.996075947864405 -1.19687850261995e-16 2.04070175533363e-16 3.08390998338143 -9.53298254062866 0.569551589839082 2.24242567454001 -0.00967163513348144 -1.25218841963499e-16 -8.96730305170297e-17 -0.67414272236718 3.08390998338143 -0.00571544744034986 -0.685426085556476 0.00141421944017901 -3.43912972954237e-17 -1.03264167685192e-16 -2.79444278253465e-16 1.05963325241929e-15 1.01070506461882 -1.62197948770029 -6.3871010986948e-17 6.46873870176646e-17 1.06745565583137e-16 8.44785591346232e-17 -4.08156432464105e-16 -0.00667065342648422 1.01070506461882 1.15588665657474e-18 -1.84275251977396e-33 -4.05716114024157e-17 -7.28026198077203e-17 3.27673349392036e-16 -4.90433679837045e-18 -1.42922638391653e-17 1.0
5410EC38A19E,49.35 17.3 10.7 155.28 49.07 16.46 3.57,18.974 172.319 4.674 20.602 1.729 2.573 44.089,12.28 11.74 14.15 11.84 26.13 29.4 11.76,1.0 -5.99099898452305e-17 1.18523195799894 -1.64983588437853 -0.262481616069013 0.505126388014599 -0.0043323245858894 1.54925799406088e-16 1.0 -0.750130077461005 -0.436022098960287 -0.00575304998745039 -1.74187778395895 -0.994175232755367 8.5723145850757e-17 -1.54563141056305e-16 3.0620871234827 -8.89597551114195 0.439042396465984 2.21167861286274 -0.0152364555925099 8.18555221134191e-17 -1.4370742020545e-17 -0.709791795223291 3.06208712348271 0.0259392390601749 -0.711700125974194 0.00273181040634374 -4.30836722443756e-17 -5.2245388352544e-17 -1.3064351541604e-16 4.38912338974799e-16 1.017171885601 -1.54701672081056 -3.94093341586923e-17 4.22473531968216e-17 1.90025584670891e-17 9.11554128217889e-17 -2.3875146853034e-16 -0.0112906079301711 1.017171885601 9.45871117044452e-20 3.82683178571659e-33 -4.48783911615395e-17 1.38697114734028e-16 -2.85572401320523e-16 1.29792319714834e-18 1.75358105396075e-16 1.0
5410EC38A1A9,55.81 15.28 12.39 152.47 39.1 21.09 2.92,22.081 158.54 5.577 18.64 2.403 2.952 39.201,12.64 11.54 14.01 12.39 22.63 36.23 12.18,1.0 -1.93291741453173e-17 1.6123258211256 -3.0839245689859 -0.183859709015861 0.964624040476661 -0.00137377117241505 -2.18920286905633e-16 1.0 -0.495520101381704 -0.877924890532349 -0.0236149704091359 -1.58203054710524 -0.997227787192994 3.77744831512453e-16 3.31352507681217e-17 3.78289940324762 -11.5473004284134 0.586105727415989 2.98898127830316 -0.00473902722741836 -3.23526351229046e-16 -1.13432029679055e-16 -0.911678756182677 3.78289940324762 -0.0142853239507173 -0.950087519951941 0.000242105561807846 -1.64722339438888e-17 6.59127587004972e-17 -2.41639000131538e-16 5.49767573909296e-16 0.992547703703667 -1.65606584362957 -1.38864113733229e-16 -8.44403200876364e-17 -4.44315649545781e-17 -1.69990627285973e-16 4.69934069589302e-16 0.00446646466666648 0.992547703703667 -6.32914287833928e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC38A1FA,49.29 13.02 11.71 161.27 50.11 15.4 4.15,19.591 156.345 5.178 22.897 5.192 3.086 44.503,13.98 11.68 13.66 12.07 24.2 12.34 12.33,1.0 2.44789245935714e-17 1.11911369349319 -1.28362802871379 -0.329349583556029 0.654027497922004 -0.00243559419641808 2.81993934616968e-16 1.0 -0.393523547206532 -1.32422330670728 0.00172768752953442 -1.94492157130852 -0.996525762450165 8.35725295716403e-16 -7.74176673165469e-19 2.75070049338765 -7.51051262714563 0.356521640249277 2.2264126104828 -0.00919460149721743 -2.14645984017419e-16 4.75962984228083e-17 -0.641188285008661 2.75070049338765 0.0337865870432949 -0.724455855902654 0.00124326160900144 -9.21416073764804e-17 -2.94575274948937e-17 -2.42395713756988e-16 5.69222099772957e-16 0.99755782880142 -1.6281141323868 5.66343522935365e-17 -1.56333211383824e-17 -2.48354461868278e-17 1.29896742130717e-16 -3.2279952500258e-16 0.00149633674320213 0.99755782880142 -1.61694594402229e-19 3.43410836326093e-32 -4.68434604046207e-17 1.04319384022359e-16 -1.72470237662085e-16 2.38865866558807e-17 1.3967302247522e-16 1.0
5410EC38B853,54.04 16.66 11.85 173.56 40.74 20.09 2.86,24.312 190.962 5.2 17.217 2.811 2.107 37.602,14.27 11.63 14.18 11.41 17.79 17.61 11.76,1.0 1.16565717853581e-17 1.73564956631397 -2.79306878374413 -0.226285245828216 0.971503745098439 -0.00639666813611767 -1.29014303508089e-16 1.0 -0.312033017087951 -2.05079243075057 0.0327949315505912 -1.13548685962053 -0.997196015587223 -8.81634103562846e-17 1.78800519830709e-16 3.39469631657797 -9.16805634218213 0.448424825890261 2.41413669733752 -0.0147657408334037 -5.48436480825508e-17 -7.79102925532037e-17 -0.886694677890166 3.39469631657797 0.0182048467407889 -0.86207563404594 0.00335681150568512 2.93687629368806e-17 -1.25360685037496e-16 1.38123166299669e-16 4.53380914381046e-17 1.0059809591948 -1.66137755411021 4.76565902960805e-17 1.76349301042157e-17 -2.25707605842348e-17 1.0205840912929e-16 -1.76913038195563e-16 -0.00362153145310127 1.0059809591948 -2.68415078287582e-19 3.27262823717998e-33 -3.64573134925721e-17 7.38826019800597e-17 -9.40455065767901e-17 1.72136501628427e-17 6.90817404656798e-17 1.0
